"Variable","Global Warming","Low Carbon","Neutrality","Policy"
"locationcounty seat","-0.290 (0.185)","-0.297 (0.186)","-0.335* (0.184)","-0.341* (0.184)"
"locationrural","-0.523** (0.210)","-0.537** (0.210)","-0.581*** (0.209)","-0.572*** (0.208)"
"heard_about_global_warmingyes and agree","0.412** (0.170)","","",""
"heard_about_global_warmingyes but disagree","0.024 (0.230)","","",""
"know_about_low_carbonheard but do not know","","0.148 (0.164)","",""
"know_about_low_carbonheard and know","","0.425* (0.233)","",""
"know_about_low_carbonfamiliar","","-0.241 (0.657)","",""
"know_about_carbon_neutralityheard but do not know","","","0.316* (0.175)",""
"know_about_carbon_neutralityheard and know","","","0.335 (0.313)",""
"know_about_carbon_neutralityfamiliar","","","-1.978** (0.994)",""
"know_about_carbon_policyheard but do not know","","","","0.183 (0.186)"
"know_about_carbon_policyheard and know","","","","0.697* (0.366)"
"know_about_carbon_policyfamiliar","","","","-0.964 (0.822)"
"AIC","2422.85","2428.35","2423.74","2426.2"
"BIC","2589.4","2599.4","2594.79","2597.25"
